S.N.|Candidate|Party|EVM Votes|Postal Votes|Total Votes|% of Votes|UT_OR_STATE|CONSTITUENCY
1.0|SATABDI ROY|All India Trinamool Congress|714972|2989|717961|47.0|West Bengal|Birbhum
2.0|DEBTANU BHATTACHARYA|Bharatiya Janata Party|517761|2550|520311|34.06|West Bengal|Birbhum
3.0|MILTON RASHID|Indian National Congress|225572|688|226260|14.81|West Bengal|Birbhum
4.0|AMIY GHOSH|Independent|11950|8|11958|0.78|West Bengal|Birbhum
5.0|LAKSHMI HEMBROM|Ambedkarite Party of India|7677|10|7687|0.5|West Bengal|Birbhum
6.0|AYESHA KHATUN|Socialist Unity Centre Of India (COMMUNIST)|6761|18|6779|0.44|West Bengal|Birbhum
7.0|RAJNATH SARKAR|Bahujan Samaj Party|5866|16|5882|0.39|West Bengal|Birbhum
8.0|SAURAV MUDI|Independent|4249|7|4256|0.28|West Bengal|Birbhum
9.0|ABDUL IMRAN|Independent|3823|9|3832|0.25|West Bengal|Birbhum
10.0|BISWAJIT MISHRA|All India Arya Mahasabha|3806|17|3823|0.25|West Bengal|Birbhum
11.0|MD. JAKIR HOSSAIN|Bharatiya National Janata Dal|2547|10|2557|0.17|West Bengal|Birbhum
12.0|DOLA SARKAR|Indian National Socialistic Action Forces|2027|6|2033|0.13|West Bengal|Birbhum
13.0|NOTA|None of the Above|14037|56|14093|0.92|West Bengal|Birbhum
|Total||1521048|6384|1527432||West Bengal|Birbhum
1.0|ASIT KUMAR MAL|All India Trinamool Congress|851209|4424|855633|55.98|West Bengal|Bolpur
2.0|PIYA SAHA|Bharatiya Janata Party|525463|2917|528380|34.57|West Bengal|Bolpur
3.0|SHYAMALI PRADHAN|Communist Party of India (Marxist)|98819|564|99383|6.5|West Bengal|Bolpur
4.0|ATUL CHANDRA BAURI|Independent|7811|18|7829|0.51|West Bengal|Bolpur
5.0|DR MANIK CHANDRA PRODHAN|Bahujan Samaj Party|7011|28|7039|0.46|West Bengal|Bolpur
6.0|SHANTA DAS|Mulnibasi Party of India|3633|7|3640|0.24|West Bengal|Bolpur
7.0|BIJOY DOLUI|Socialist Unity Centre Of India (COMMUNIST)|2774|18|2792|0.18|West Bengal|Bolpur
8.0|MANTU DHIBAR|Hindustan Shakti Sena|2048|4|2052|0.13|West Bengal|Bolpur
9.0|NOTA|None of the Above|21640|82|21722|1.42|West Bengal|Bolpur
|Total||1520408|8062|1528470||West Bengal|Bolpur
1.0|SHATRUGHAN PRASAD SINHA|All India Trinamool Congress|603105|2540|605645|46.53|West Bengal|Asansol
2.0|SURENDRAJEET SINGH AHLUWALIA|Bharatiya Janata Party|544077|2004|546081|41.96|West Bengal|Asansol
3.0|JAHANARA KHAN|Communist Party of India (Marxist)|105454|510|105964|8.14|West Bengal|Asansol
4.0|DIPIKA BAURI|Independent|10623|24|10647|0.82|West Bengal|Asansol
5.0|SUNNY KUMAR SAH|Bahujan Samaj Party|8546|29|8575|0.66|West Bengal|Asansol
6.0|SUJIT PAL|Independent|4749|11|4760|0.37|West Bengal|Asansol
7.0|AMARNATH CHOWDHURY|Socialist Unity Centre Of India (COMMUNIST)|4330|28|4358|0.33|West Bengal|Asansol
8.0|NOTA|None of the Above|15448|62|15510|1.19|West Bengal|Asansol
|Total||1296332|5208|1301540||West Bengal|Asansol
1.0|AZAD KIRTI JHA|All India Trinamool Congress|717069|3598|720667|47.99|West Bengal|Bardhaman-Durgapur
2.0|DILIP GHOSH|Bharatiya Janata Party|579609|3077|582686|38.8|West Bengal|Bardhaman-Durgapur
3.0|SUKRITI GHOSAL|Communist Party of India (Marxist)|152851|978|153829|10.24|West Bengal|Bardhaman-Durgapur
4.0|LUXMI NARAYAN KORA|Independent|7138|4|7142|0.48|West Bengal|Bardhaman-Durgapur
5.0|PRABHU NATH SAH|Bahujan Samaj Party|6822|34|6856|0.46|West Bengal|Bardhaman-Durgapur
6.0|TASBIRUL ISLAM|Socialist Unity Centre Of India (COMMUNIST)|3450|19|3469|0.23|West Bengal|Bardhaman-Durgapur
7.0|REENA LEONG|Independent|3100|11|3111|0.21|West Bengal|Bardhaman-Durgapur
8.0|MIR SAKIMUDDIN|The National Road Map Party of India|2413|5|2418|0.16|West Bengal|Bardhaman-Durgapur
9.0|NOTA|None of the Above|21532|63|21595|1.44|West Bengal|Bardhaman-Durgapur
|Total||1493984|7789|1501773||West Bengal|Bardhaman-Durgapur
1.0|DR. SHARMILA SARKAR|All India Trinamool Congress|717881|2421|720302|48.11|West Bengal|Bardhaman Purba
2.0|ASIM KUMAR SARKAR|Bharatiya Janata Party|557943|1787|559730|37.38|West Bengal|Bardhaman Purba
3.0|NIRAB KHAN|Communist Party of India (Marxist)|176358|541|176899|11.81|West Bengal|Bardhaman Purba
4.0|NIRMAL MAJHI|Socialist Unity Centre Of India (COMMUNIST)|10964|12|10976|0.73|West Bengal|Bardhaman Purba
5.0|MUKUL BISWAS|Bahujan Samaj Party|7610|21|7631|0.51|West Bengal|Bardhaman Purba
6.0|SHARMILA SARKAR|Independent|4875|18|4893|0.33|West Bengal|Bardhaman Purba
7.0|SAJAL KUMAR DE|Communist Party of India (Marxist-Leninist) (Liberation)|4163|19|4182|0.28|West Bengal|Bardhaman Purba
8.0|NOTA|None of the Above|12654|43|12697|0.85|West Bengal|Bardhaman Purba
|Total||1492448|4862|1497310||West Bengal|Bardhaman Purba
1.0|KHAN SAUMITRA|Bharatiya Janata Party|677320|2810|680130|44.93|West Bengal|Bishnupur
2.0|SUJATA MONDAL|All India Trinamool Congress|671148|3415|674563|44.56|West Bengal|Bishnupur
3.0|SITAL CHANDRA KAIBARTYA|Communist Party of India (Marxist)|104895|516|105411|6.96|West Bengal|Bishnupur
4.0|SADANANDA MANDAL|Socialist Unity Centre Of India (COMMUNIST)|16046|28|16074|1.06|West Bengal|Bishnupur
5.0|JOYDEV DHANK|Bahujan Samaj Party|9027|52|9079|0.6|West Bengal|Bishnupur
6.0|BASUDEB SIKARI|Independent|5093|13|5106|0.34|West Bengal|Bishnupur
7.0|NARENDRANATH RAY|Independent|4360|17|4377|0.29|West Bengal|Bishnupur
8.0|NOTA|None of the Above|19062|70|19132|1.26|West Bengal|Bishnupur
|Total||1506951|6921|1513872||West Bengal|Bishnupur
1.0|ARUP CHAKRABORTY|All India Trinamool Congress|637465|4348|641813|44.33|West Bengal|Bankura
2.0|DR. SUBHAS SARKAR|Bharatiya Janata Party|604836|4199|609035|42.07|West Bengal|Bankura
3.0|NILANJAN DASGUPTA|Communist Party of India (Marxist)|104534|825|105359|7.28|West Bengal|Bankura
4.0|SURAJIT SINGH KURMALI|Independent|18507|62|18569|1.28|West Bengal|Bankura
5.0|GOPAL MURMU|Ambedkarite Party of India|9047|54|9101|0.63|West Bengal|Bankura
6.0|DIPA BOURI|Bahujan Samaj Party|8709|87|8796|0.61|West Bengal|Bankura
7.0|MARSHAL TUDU|Independent|6682|35|6717|0.46|West Bengal|Bankura
8.0|TARA SHANKAR GOPE|Socialist Unity Centre Of India (COMMUNIST)|5490|39|5529|0.38|West Bengal|Bankura
9.0|SANDIP KUMAR DEY|Independent|4610|12|4622|0.32|West Bengal|Bankura
10.0|SAMAR KUMAR BISWAS|Kisan Mazdoor Sangharsh Party|3512|29|3541|0.24|West Bengal|Bankura
11.0|JIBAN CHAKRABORTY|Independent|3483|23|3506|0.24|West Bengal|Bankura
12.0|KARTIK CHANDRA BAURI|Independent|2741|55|2796|0.19|West Bengal|Bankura
13.0|GOUR CHANDRA HEMBRAM|Independent|2064|17|2081|0.14|West Bengal|Bankura
14.0|NOTA|None of the Above|26126|83|26209|1.81|West Bengal|Bankura
|Total||1437806|9868|1447674||West Bengal|Bankura
1.0|JYOTIRMAY SINGH MAHATO|Bharatiya Janata Party|576246|2243|578489|40.34|West Bengal|Purulia
2.0|SHANTIRAM MAHATO|All India Trinamool Congress|559325|2085|561410|39.15|West Bengal|Purulia
3.0|NEPAL CHANDRA MAHATO|Indian National Congress|128565|592|129157|9.01|West Bengal|Purulia
4.0|AJIT PRASAD MAHATA|Independent|98381|277|98658|6.88|West Bengal|Purulia
5.0|DHIRENDRANATH MAHATO|All India Forward Bloc|14498|74|14572|1.02|West Bengal|Purulia
6.0|SONTOSH RAJOWARD|Bahujan Samaj Party|7739|21|7760|0.54|West Bengal|Purulia
7.0|SUSMITA MAHATO|Socialist Unity Centre Of India (COMMUNIST)|6078|31|6109|0.43|West Bengal|Purulia
8.0|GORISH ROY|Independent|4800|9|4809|0.34|West Bengal|Purulia
9.0|BHAGWAT DASS SHASTRI|Independent|4508|4|4512|0.31|West Bengal|Purulia
10.0|ASIT BARAN MAHATO|Party for Democratic Socialism|3868|9|3877|0.27|West Bengal|Purulia
11.0|PIJUSH KANTI RAJAK|Independent|3408|10|3418|0.24|West Bengal|Purulia
12.0|AJIT MAHATO|Independent|3309|9|3318|0.23|West Bengal|Purulia
13.0|NOTA|None of the Above|17871|58|17929|1.25|West Bengal|Purulia
|Total||1428596|5422|1434018||West Bengal|Purulia
1.0|JUNE MALIAH|All India Trinamool Congress|699562|2630|702192|47.4|West Bengal|Medinipur
2.0|AGNIMITRA PAUL|Bharatiya Janata Party|671328|3673|675001|45.56|West Bengal|Medinipur
3.0|BIPLAB BHATTA|Communist Party of India|57345|440|57785|3.9|West Bengal|Medinipur
4.0|ANINDITA JANA|Socialist Unity Centre Of India (COMMUNIST)|9744|47|9791|0.66|West Bengal|Medinipur
5.0|SANJIB DEY|Independent|8703|8|8711|0.59|West Bengal|Medinipur
6.0|ANJAN (BABALU) MANDAL|Bahujan Samaj Party|6483|20|6503|0.44|West Bengal|Medinipur
7.0|KAMALESH MAHATA|Independent|4229|21|4250|0.29|West Bengal|Medinipur
8.0|SUKESH CHANDRA PALMAL|Independent|2757|5|2762|0.19|West Bengal|Medinipur
9.0|BISWAJIT DAS|Independent|2141|3|2144|0.14|West Bengal|Medinipur
10.0|NOTA|None of the Above|12362|62|12424|0.84|West Bengal|Medinipur
|Total||1474654|6909|1481563||West Bengal|Medinipur
1.0|KALIPADA SAREN (KHERWAL)|All India Trinamool Congress|740132|3346|743478|49.87|West Bengal|Jhargram
2.0|DR. PRANAT TUDU|Bharatiya Janata Party|566553|2877|569430|38.2|West Bengal|Jhargram
3.0|SONAMANI TUDU|Communist Party of India (Marxist)|76850|452|77302|5.19|West Bengal|Jhargram
4.0|SURYA SINGH BESRA|Jharkhand People's Party|19408|86|19494|1.31|West Bengal|Jhargram
5.0|BARUN MAHATO|Independent|12029|58|12087|0.81|West Bengal|Jhargram
6.0|ARUNKUMAR HANSDA|Bahujan Samaj Party|11949|40|11989|0.8|West Bengal|Jhargram
7.0|SURENDRANATH SING|Independent|10781|6|10787|0.72|West Bengal|Jhargram
8.0|RAMANATH ORANG|Independent|7178|10|7188|0.48|West Bengal|Jhargram
9.0|BIPLAB HEMBRAM|Independent|7156|14|7170|0.48|West Bengal|Jhargram
10.0|BAPI SOREN|All India Secular Front|5854|41|5895|0.4|West Bengal|Jhargram
11.0|BIRSABIR BASKEY|Ambedkarite Party of India|4344|18|4362|0.29|West Bengal|Jhargram
12.0|SUSHIL MANDI|Socialist Unity Centre Of India (COMMUNIST)|2879|13|2892|0.19|West Bengal|Jhargram
13.0|GUNADHAR SING|Independent|2818|31|2849|0.19|West Bengal|Jhargram
14.0|NOTA|None of the Above|15871|49|15920|1.07|West Bengal|Jhargram
|Total||1483802|7041|1490843||West Bengal|Jhargram
1.0|ADHIKARI DEEPAK (DEV)|All India Trinamool Congress|834558|3432|837990|52.36|West Bengal|Ghatal
2.0|DR. HIRANMOY CHATTOPADHYAYA|Bharatiya Janata Party|652098|3024|655122|40.93|West Bengal|Ghatal
3.0|TAPAN GANGULI|Communist Party of India|74399|509|74908|4.68|West Bengal|Ghatal
4.0|SOUMEN MADRAJI|Bahujan Samaj Party|7916|25|7941|0.5|West Bengal|Ghatal
5.0|GOPAL MONDAL|Independent|4238|6|4244|0.27|West Bengal|Ghatal
6.0|DINESH MAIKAP|Socialist Unity Centre Of India (COMMUNIST)|4124|24|4148|0.26|West Bengal|Ghatal
7.0|SAHEB CHOWDHURY|Independent|3228|9|3237|0.2|West Bengal|Ghatal
8.0|NOTA|None of the Above|12889|77|12966|0.81|West Bengal|Ghatal
|Total||1593450|7106|1600556||West Bengal|Ghatal
1.0|ADHIKARI SOUMENDU|Bharatiya Janata Party|757906|5289|763195|49.85|West Bengal|Kanthi
2.0|UTTAM BARIK SON OF LATE BIRENDRA BARIK|All India Trinamool Congress|709763|5668|715431|46.73|West Bengal|Kanthi
3.0|URBASI BANERJEE|Indian National Congress|30737|385|31122|2.03|West Bengal|Kanthi
4.0|BIDESH BASU MAITY|Independent|5633|21|5654|0.37|West Bengal|Kanthi
5.0|MANAS PRADHAN|Socialist Unity Centre Of India (COMMUNIST)|2489|40|2529|0.17|West Bengal|Kanthi
6.0|UTTAM BARIK SON OF LATE NARAYAN BARIK|Independent|1963|35|1998|0.13|West Bengal|Kanthi
7.0|MAKHAN LAL MAHAPATRA|Bahujan Samaj Party|1792|12|1804|0.12|West Bengal|Kanthi
8.0|MD AHAMADULLAH KHAN|Independent|530|56|586|0.04|West Bengal|Kanthi
9.0|ARJUN KUMAR MAITY|Independent|504|40|544|0.04|West Bengal|Kanthi
10.0|NOTA|None of the Above|8075|59|8134|0.53|West Bengal|Kanthi
|Total||1519392|11605|1530997||West Bengal|Kanthi
1.0|ABHIJIT GANGOPADHYAY|Bharatiya Janata Party|761183|4401|765584|48.54|West Bengal|Tamluk
2.0|DEBANGSHU BHATTACHARYA|All India Trinamool Congress|683955|3896|687851|43.61|West Bengal|Tamluk
3.0|SAYAN BANERJEE|Communist Party of India (Marxist)|84774|615|85389|5.41|West Bengal|Tamluk
4.0|MOHIUDDIN AHMED MAHI|All India Secular Front|12303|36|12339|0.78|West Bengal|Tamluk
5.0|SURYANEEL DAS|Independent|6012|2|6014|0.38|West Bengal|Tamluk
6.0|NARAYAN CHANDRA NAYAK|Socialist Unity Centre Of India (COMMUNIST)|5633|49|5682|0.36|West Bengal|Tamluk
7.0|SABITRI BISHAI|Bahujan Samaj Party|3724|30|3754|0.24|West Bengal|Tamluk
8.0|DEBAPRASAD JANA|Independent|1460|7|1467|0.09|West Bengal|Tamluk
9.0|KALIPADA DAS|Independent|947|27|974|0.06|West Bengal|Tamluk
10.0|NOTA|None of the Above|8223|42|8265|0.52|West Bengal|Tamluk
|Total||1568214|9105|1577319||West Bengal|Tamluk
1.0|BAG MITALI|All India Trinamool Congress|710432|2155|712587|45.71|West Bengal|Arambagh
2.0|ARUP KANTI DIGAR|Bharatiya Janata Party|704124|2064|706188|45.3|West Bengal|Arambagh
3.0|BIPLAB KUMAR MOITRA|Communist Party of India (Marxist)|92073|429|92502|5.93|West Bengal|Arambagh
4.0|RAGHU MALLIK|Independent|16123|7|16130|1.03|West Bengal|Arambagh
5.0|SUBIR KUMAR ROY|Bahujan Samaj Party|3807|24|3831|0.25|West Bengal|Arambagh
6.0|VASKAR MALIK|Independent|3662|3|3665|0.24|West Bengal|Arambagh
7.0|SUKANTA POREL|Socialist Unity Centre Of India (COMMUNIST)|1807|9|1816|0.12|West Bengal|Arambagh
8.0|BABLU GHANTI|Independent|1610|19|1629|0.1|West Bengal|Arambagh
9.0|ABHIJIT MAJI|Independent|1600|6|1606|0.1|West Bengal|Arambagh
10.0|ALOK DOLAI|Independent|1081|13|1094|0.07|West Bengal|Arambagh
11.0|NOTA|None of the Above|17981|50|18031|1.16|West Bengal|Arambagh
|Total||1554300|4779|1559079||West Bengal|Arambagh
1.0|RACHNA BANERJEE|All India Trinamool Congress|700120|2624|702744|46.31|West Bengal|Hooghly
2.0|LOCKET CHATTERJEE|Bharatiya Janata Party|623867|2024|625891|41.24|West Bengal|Hooghly
3.0|MANADIP GHOSH|Communist Party of India (Marxist)|139250|669|139919|9.22|West Bengal|Hooghly
4.0|SURAJIT HEMBRAM|Independent|9257|11|9268|0.61|West Bengal|Hooghly
5.0|SAMIM ALI MOLLICK|Independent|6555|12|6567|0.43|West Bengal|Hooghly
6.0|JAMINI BHAR|Bahujan Samaj Party|4684|34|4718|0.31|West Bengal|Hooghly
7.0|AJANTA SARKAR|Bharatiya National Janata Dal|3619|20|3639|0.24|West Bengal|Hooghly
8.0|SK KAMALUDDIN|Independent|2755|11|2766|0.18|West Bengal|Hooghly
9.0|SANCHITA BERA|Independent|2632|17|2649|0.17|West Bengal|Hooghly
10.0|PABAN MAZUMDER|Socialist Unity Centre Of India (COMMUNIST)|2367|13|2380|0.16|West Bengal|Hooghly
11.0|PRADIP PAL|Bharatiya Nyay-Adhikar Raksha Party|2205|15|2220|0.15|West Bengal|Hooghly
12.0|MRINAL KANTI DAS|Independent|1387|11|1398|0.09|West Bengal|Hooghly
13.0|NOTA|None of the Above|13250|102|13352|0.88|West Bengal|Hooghly
|Total||1511948|5563|1517511||West Bengal|Hooghly
1.0|KALYAN BANERJEE|All India Trinamool Congress|671865|2105|673970|45.65|West Bengal|Srerampur
2.0|KABIR SHANKAR BOSE|Bharatiya Janata Party|497720|1420|499140|33.8|West Bengal|Srerampur
3.0|DIPSITA DHAR|Communist Party of India (Marxist)|238131|1015|239146|16.2|West Bengal|Srerampur
4.0|SAHARIAR MULLICK (BAPI)|All India Secular Front|25659|18|25677|1.74|West Bengal|Srerampur
5.0|SUNDAR PATRA|Independent|9897|5|9902|0.67|West Bengal|Srerampur
6.0|SASANKA CHAKRABORTY|Independent|3933|5|3938|0.27|West Bengal|Srerampur
7.0|SUPRIYA BISWAS|Bahujan Samaj Party|3572|17|3589|0.24|West Bengal|Srerampur
8.0|KALYAN PAUL|Independent|1749|9|1758|0.12|West Bengal|Srerampur
9.0|PRADYUT CHOWDHURI|Socialist Unity Centre Of India (COMMUNIST)|1671|9|1680|0.11|West Bengal|Srerampur
10.0|KALYAN SAMANTA|Independent|1421|19|1440|0.1|West Bengal|Srerampur
11.0|SARKAR MANGAL|Bahujan Maha Party|1256|2|1258|0.09|West Bengal|Srerampur
12.0|NOTA|None of the Above|14964|70|15034|1.02|West Bengal|Srerampur
|Total||1471838|4694|1476532||West Bengal|Srerampur
1.0|SAJDA AHMED|All India Trinamool Congress|722586|2036|724622|52.1|West Bengal|Uluberia
2.0|ARUNUDAY PAULCHOWDHURY|Bharatiya Janata Party|504611|1338|505949|36.38|West Bengal|Uluberia
3.0|AZAHAR MOLLICK|Indian National Congress|78304|285|78589|5.65|West Bengal|Uluberia
4.0|MOFIKUL ISLAM|All India Secular Front|38971|20|38991|2.8|West Bengal|Uluberia
5.0|ARIT KARAK|Independent|7287|5|7292|0.52|West Bengal|Uluberia
6.0|AMAL KUMAR DEYATI|Bharatiya Nyay-Adhikar Raksha Party|5445|6|5451|0.39|West Bengal|Uluberia
7.0|RAMESH KHANRA|Independent|5094|10|5104|0.37|West Bengal|Uluberia
8.0|BIMALESH KUMAR HELA|Bahujan Samaj Party|4867|8|4875|0.35|West Bengal|Uluberia
9.0|SK. SAPIYAR ALI|Independent|2924|-|2924|0.21|West Bengal|Uluberia
10.0|NIKHIL BERA|Socialist Unity Centre Of India (COMMUNIST)|2095|12|2107|0.15|West Bengal|Uluberia
11.0|AMAL KUMAR BARMAN|Independent|1997|3|2000|0.14|West Bengal|Uluberia
12.0|RAMPRASAD GHORAI|Indian Unity Centre|1568|4|1572|0.11|West Bengal|Uluberia
13.0|NOTA|None of the Above|11263|55|11318|0.81|West Bengal|Uluberia
|Total||1387012|3782|1390794||West Bengal|Uluberia
1.0|PRASUN BANERJEE|All India Trinamool Congress|625229|1264|626493|49.26|West Bengal|Howrah
2.0|DR RATHIN CHAKRAVARTY|Bharatiya Janata Party|455996|1055|457051|35.94|West Bengal|Howrah
3.0|SABYASACHI CHATTERJEE|Communist Party of India (Marxist)|151483|522|152005|11.95|West Bengal|Howrah
4.0|PALASH BACHAR|Bahujan Samaj Party|6342|12|6354|0.5|West Bengal|Howrah
5.0|SEIKH SAKIRUL ISLAM|Independent|5271|-|5271|0.41|West Bengal|Howrah
6.0|SHIWA MALLICK|Independent|3218|2|3220|0.25|West Bengal|Howrah
7.0|UTTAM CHATTERJEE|Socialist Unity Centre Of India (COMMUNIST)|2319|6|2325|0.18|West Bengal|Howrah
8.0|SHAMPA DAS|Bharatiya Nyay-Adhikar Raksha Party|2053|12|2065|0.16|West Bengal|Howrah
9.0|RATHIN GANGULY|Independent|1884|3|1887|0.15|West Bengal|Howrah
10.0|PRASUN LAHIRI|Independent|1323|3|1326|0.1|West Bengal|Howrah
11.0|RAJESH KUMAR PRASAD|All India Arya Mahasabha|1268|4|1272|0.1|West Bengal|Howrah
12.0|ADARSHA MONDAL|Independent|939|6|945|0.07|West Bengal|Howrah
13.0|AJAZ AHMED ANSARI|Independent|856|1|857|0.07|West Bengal|Howrah
14.0|TAPAS BARUI|Independent|637|4|641|0.05|West Bengal|Howrah
15.0|NOTA|None of the Above|10036|48|10084|0.79|West Bengal|Howrah
|Total||1268854|2942|1271796||West Bengal|Howrah
1.0|BANDYOPADHYAY SUDIP|All India Trinamool Congress|453177|1519|454696|47.44|West Bengal|Kolkata Uttar
2.0|TAPAS ROY|Bharatiya Janata Party|361268|868|362136|37.78|West Bengal|Kolkata Uttar
3.0|PRADIP BHATTACHARYA|Indian National Congress|114556|426|114982|12.0|West Bengal|Kolkata Uttar
4.0|DR. BIPLAB CHANDRA|Socialist Unity Centre Of India (COMMUNIST)|3640|18|3658|0.38|West Bengal|Kolkata Uttar
5.0|OMPRAKASH PRAJAPATI|Bahujan Samaj Party|3133|47|3180|0.33|West Bengal|Kolkata Uttar
6.0|PRANATI PAUL|Independent|2267|5|2272|0.24|West Bengal|Kolkata Uttar
7.0|SURENDRA KUMAR KABRA|Independent|1317|5|1322|0.14|West Bengal|Kolkata Uttar
8.0|SWAPAN DAS|Independent|1163|3|1166|0.12|West Bengal|Kolkata Uttar
9.0|MISBAHUS SALAM|Independent|975|6|981|0.1|West Bengal|Kolkata Uttar
10.0|SAMPA GUHA|Bharatiya Nyay-Adhikar Raksha Party|912|4|916|0.1|West Bengal|Kolkata Uttar
11.0|RAJKUMAR PALIT|Mission Naya Digant Party|768|4|772|0.08|West Bengal|Kolkata Uttar
12.0|SMT. RINKU GUPTA|Pyramid Party of India|649|10|659|0.07|West Bengal|Kolkata Uttar
13.0|AMAL KUMAR DEY|Independent|582|9|591|0.06|West Bengal|Kolkata Uttar
14.0|ANUJIT KUMAR NAN|Independent|555|2|557|0.06|West Bengal|Kolkata Uttar
15.0|BINOY KRISHNA CHATTERJEE|Independent|500|1|501|0.05|West Bengal|Kolkata Uttar
16.0|NOTA|None of the Above|10004|40|10044|1.05|West Bengal|Kolkata Uttar
|Total||955466|2967|958433||West Bengal|Kolkata Uttar
1.0|MALA ROY|All India Trinamool Congress|612725|2549|615274|49.48|West Bengal|Kolkata Dakshin
2.0|DEBASREE CHAUDHURI|Bharatiya Janata Party|426459|1584|428043|34.42|West Bengal|Kolkata Dakshin
3.0|SAIRA SHAH HALIM|Communist Party of India (Marxist)|167771|760|168531|13.55|West Bengal|Kolkata Dakshin
4.0|NIRAJ AGARWAL|Independent|4028|4|4032|0.32|West Bengal|Kolkata Dakshin
5.0|FIROZA KHATUN|Bahujan Samaj Party|3958|17|3975|0.32|West Bengal|Kolkata Dakshin
6.0|SANTANU ROY|Independent|2918|2|2920|0.23|West Bengal|Kolkata Dakshin
7.0|ZUBAIR RABBANI|Socialist Unity Centre Of India (COMMUNIST)|2290|10|2300|0.18|West Bengal|Kolkata Dakshin
8.0|SUSANTA MONDAL|Independent|2090|1|2091|0.17|West Bengal|Kolkata Dakshin
9.0|MUMTAZ ALI|Independent|1960|9|1969|0.16|West Bengal|Kolkata Dakshin
10.0|MUKTI|Right to Recall Party|1537|7|1544|0.12|West Bengal|Kolkata Dakshin
11.0|SANJOY (RANA) CHANDA|Kisan Mazdoor Sangharsh Party|1186|7|1193|0.1|West Bengal|Kolkata Dakshin
12.0|SANJANA RAM|Independent|1052|4|1056|0.08|West Bengal|Kolkata Dakshin
13.0|YASMIN ISLAM|Social Democratic Party Of India|981|4|985|0.08|West Bengal|Kolkata Dakshin
14.0|ATANU DAS|Independent|969|2|971|0.08|West Bengal|Kolkata Dakshin
15.0|MRIDUL OJHA|Independent|856|6|862|0.07|West Bengal|Kolkata Dakshin
16.0|DIPENDU HAZRA|Independent|794|10|804|0.06|West Bengal|Kolkata Dakshin
17.0|MD. SHAKIL WARSI|Independent|503|1|504|0.04|West Bengal|Kolkata Dakshin
18.0|NOTA|None of the Above|6348|75|6423|0.52|West Bengal|Kolkata Dakshin
|Total||1238425|5052|1243477||West Bengal|Kolkata Dakshin
1.0|SAYANI GHOSH|All India Trinamool Congress|714049|3850|717899|45.83|West Bengal|Jadavpur
2.0|DR. ANIRBAN GANGULY|Bharatiya Janata Party|457307|2391|459698|29.35|West Bengal|Jadavpur
3.0|SRIJAN BHATTACHARYYA|Communist Party of India (Marxist)|256951|1761|258712|16.52|West Bengal|Jadavpur
4.0|NUR ALAM KHAN|All India Secular Front|83291|71|83362|5.32|West Bengal|Jadavpur
5.0|RANJIT KUMAR MANDAL|Independent|13021|9|13030|0.83|West Bengal|Jadavpur
6.0|HOSEN GAZI|Independent|4925|2|4927|0.31|West Bengal|Jadavpur
7.0|SANDIP NATH|Bahujan Samaj Party|4434|28|4462|0.28|West Bengal|Jadavpur
8.0|KALPANA NASKAR DATTA|Socialist Unity Centre Of India (COMMUNIST)|4416|35|4451|0.28|West Bengal|Jadavpur
9.0|BALARAM MANDAL|Independent|2829|6|2835|0.18|West Bengal|Jadavpur
10.0|TANUSHREE MONDAL|Independent|2419|8|2427|0.15|West Bengal|Jadavpur
11.0|SHANKAR MANDAL|Independent|1439|3|1442|0.09|West Bengal|Jadavpur
12.0|SRI GOPAN SARDAR|Mulnibasi Party of India|1366|7|1373|0.09|West Bengal|Jadavpur
13.0|PURNIMA DEBNATH|Independent|1301|24|1325|0.08|West Bengal|Jadavpur
14.0|CHANDRACHUR GOSWAMI|Independent|1112|2|1114|0.07|West Bengal|Jadavpur
15.0|ARUN SARKAR|Independent|1107|3|1110|0.07|West Bengal|Jadavpur
16.0|DIPAK SARDAR|Independent|924|3|927|0.06|West Bengal|Jadavpur
17.0|NOTA|None of the Above|7316|99|7415|0.47|West Bengal|Jadavpur
|Total||1558207|8302|1566509||West Bengal|Jadavpur
1.0|ABHISHEK BANERJEE|All India Trinamool Congress|1043493|4737|1048230|68.48|West Bengal|Diamond harbour
2.0|ABHIJIT DAS (BOBBY)|Bharatiya Janata Party|336068|1232|337300|22.03|West Bengal|Diamond harbour
3.0|PRATIK UR RAHAMAN|Communist Party of India (Marxist)|86507|446|86953|5.68|West Bengal|Diamond harbour
4.0|MAJNU LASKAR|All India Secular Front|21109|30|21139|1.38|West Bengal|Diamond harbour
5.0|SUBRATA BOSE|Independent|9819|6|9825|0.64|West Bengal|Diamond harbour
6.0|DASARATHI PAIK|Bahujan Samaj Party|7082|29|7111|0.46|West Bengal|Diamond harbour
7.0|MALAY GUHA ROY|Independent|2963|8|2971|0.19|West Bengal|Diamond harbour
8.0|PULAKESH MONDAL|Independent|1945|3|1948|0.13|West Bengal|Diamond harbour
9.0|KALIMUDDIN SK|Indian National Socialistic Action Forces|1579|11|1590|0.1|West Bengal|Diamond harbour
10.0|RAMKUMAR MONDAL|Socialist Unity Centre Of India (COMMUNIST)|1411|7|1418|0.09|West Bengal|Diamond harbour
11.0|ANISUR RAHAMAN SK|Independent|1152|7|1159|0.08|West Bengal|Diamond harbour
12.0|KASHINATH MONDAL|Independent|961|24|985|0.06|West Bengal|Diamond harbour
